#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 350000      1.24e+00      1.39e-02      5.59e-02    4.9e-04
 351000      1.46e+00      5.87e-03      6.59e-02    4.9e-04
 352000      9.59e-01      1.68e-03      4.34e-02    4.9e-04
 353000      1.19e+00      4.60e-03      5.38e-02    4.9e-04
 354000      1.31e+00      6.96e-03      5.94e-02    4.9e-04
 355000      1.34e+00      1.90e-03      6.08e-02    4.8e-04
 356000      1.32e+00      3.48e-03      6.00e-02    4.8e-04
 357000      1.25e+00      1.83e-03      5.67e-02    4.8e-04
 358000      1.25e+00      3.97e-03      5.71e-02    4.8e-04
 359000      1.21e+00      5.49e-03      5.50e-02    4.8e-04
 360000      2.59e+00      5.35e-03      1.18e-01    4.8e-04
 361000      1.64e+00      3.82e-03      7.49e-02    4.8e-04
 362000      1.23e+00      1.28e-02      5.61e-02    4.8e-04
 363000      1.94e+00      1.62e-03      8.89e-02    4.8e-04
 364000      1.30e+00      1.78e-03      5.94e-02    4.8e-04
 365000      1.30e+00      5.96e-03      5.99e-02    4.7e-04
 366000      1.40e+00      6.74e-03      6.42e-02    4.7e-04
 367000      1.34e+00      1.21e-03      6.15e-02    4.7e-04
 368000      1.32e+00      7.15e-03      6.07e-02    4.7e-04
 369000      1.39e+00      7.17e-03      6.37e-02    4.7e-04
 370000      1.11e+00      2.96e-03      5.15e-02    4.7e-04
 371000      1.37e+00      5.62e-03      6.32e-02    4.7e-04
 372000      9.44e-01      9.98e-03      4.34e-02    4.7e-04
 373000      1.30e+00      5.16e-03      5.99e-02    4.7e-04
 374000      1.25e+00      3.39e-03      5.78e-02    4.7e-04
 375000      1.24e+00      4.70e-03      5.73e-02    4.6e-04
 376000      1.29e+00      2.84e-04      5.97e-02    4.6e-04
 377000      1.17e+00      1.71e-03      5.44e-02    4.6e-04
 378000      1.22e+00      3.11e-04      5.66e-02    4.6e-04
 379000      9.96e-01      8.71e-03      4.61e-02    4.6e-04
 380000      1.20e+00      1.02e-03      5.58e-02    4.6e-04
 381000      8.98e-01      2.40e-03      4.19e-02    4.6e-04
 382000      1.24e+00      8.77e-04      5.79e-02    4.6e-04
 383000      1.46e+00      5.74e-03      6.83e-02    4.6e-04
 384000      1.22e+00      5.96e-03      5.70e-02    4.6e-04
 385000      1.38e+00      8.94e-03      6.44e-02    4.5e-04
 386000      1.25e+00      1.98e-03      5.87e-02    4.5e-04
 387000      1.10e+00      6.02e-03      5.15e-02    4.5e-04
 388000      1.57e+00      1.12e-02      7.36e-02    4.5e-04
 389000      1.17e+00      2.99e-03      5.48e-02    4.5e-04
 390000      1.37e+00      1.28e-03      6.46e-02    4.5e-04
 391000      1.36e+00      5.39e-03      6.39e-02    4.5e-04
 392000      1.38e+00      3.41e-03      6.51e-02    4.5e-04
 393000      9.06e-01      7.46e-03      4.26e-02    4.5e-04
 394000      9.39e-01      1.10e-03      4.43e-02    4.5e-04
 395000      1.11e+00      2.02e-03      5.26e-02    4.4e-04
 396000      1.40e+00      5.35e-03      6.61e-02    4.4e-04
 397000      1.45e+00      8.13e-03      6.84e-02    4.4e-04
 398000      1.41e+00      2.58e-03      6.67e-02    4.4e-04
 399000      1.32e+00      3.85e-03      6.24e-02    4.4e-04
 400000      1.13e+00      5.22e-03      5.39e-02    4.4e-04
 401000      1.51e+00      3.95e-04      7.19e-02    4.4e-04
 402000      1.24e+00      5.13e-03      5.89e-02    4.4e-04
 403000      9.67e-01      1.98e-03      4.61e-02    4.4e-04
 404000      1.47e+00      1.71e-03      7.02e-02    4.4e-04
 405000      1.23e+00      4.03e-03      5.87e-02    4.4e-04
 406000      1.10e+00      6.38e-04      5.24e-02    4.4e-04
 407000      1.28e+00      7.39e-03      6.14e-02    4.4e-04
 408000      1.22e+00      8.72e-03      5.82e-02    4.4e-04
 409000      1.01e+00      1.09e-03      4.82e-02    4.4e-04
 410000      1.23e+00      7.83e-03      5.91e-02    4.3e-04
 411000      1.75e+00      7.50e-03      8.40e-02    4.3e-04
 412000      1.26e+00      4.51e-03      6.04e-02    4.3e-04
 413000      1.60e+00      1.08e-02      7.67e-02    4.3e-04
 414000      1.21e+00      7.58e-03      5.83e-02    4.3e-04
 415000      1.43e+00      8.43e-04      6.92e-02    4.3e-04
 416000      1.20e+00      1.14e-02      5.80e-02    4.3e-04
 417000      1.40e+00      1.01e-02      6.75e-02    4.3e-04
 418000      1.27e+00      2.02e-03      6.13e-02    4.3e-04
 419000      1.06e+00      6.62e-03      5.13e-02    4.3e-04
 420000      1.23e+00      2.80e-03      5.98e-02    4.2e-04
 421000      1.43e+00      7.72e-04      6.97e-02    4.2e-04
 422000      1.09e+00      1.14e-04      5.30e-02    4.2e-04
 423000      1.18e+00      1.55e-03      5.72e-02    4.2e-04
 424000      1.29e+00      1.95e-03      6.27e-02    4.2e-04
 425000      1.22e+00      7.97e-04      5.94e-02    4.2e-04
 426000      1.18e+00      1.32e-03      5.75e-02    4.2e-04
 427000      9.98e-01      1.61e-03      4.88e-02    4.2e-04
 428000      1.08e+00      3.49e-03      5.26e-02    4.2e-04
 429000      1.33e+00      3.60e-03      6.51e-02    4.2e-04
 430000      1.05e+00      3.72e-03      5.17e-02    4.1e-04
 431000      1.13e+00      6.84e-03      5.53e-02    4.1e-04
 432000      1.17e+00      1.02e-04      5.76e-02    4.1e-04
 433000      1.30e+00      3.61e-05      6.39e-02    4.1e-04
